Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Indicator reporting days,TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 11:57:56,05-08-2025 12:03:13,5m - 16.227s,FAILED
,,,,,,,
Test Cases/TestCloud Sample,TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 11:57:57,05-08-2025 11:59:09,1m - 12.021s,FAILED
try,TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 11:57:58,05-08-2025 11:58:51,53.706s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 11:58:51,05-08-2025 11:58:54,2.682s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 11:58:54,05-08-2025 11:58:58,4.011s,PASSED
"doubleClick(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Demo account_form-control""))",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 11:58:58,05-08-2025 11:59:00,1.809s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Demo account_form-control""))",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 11:59:00,05-08-2025 11:59:02,2.578s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 11:59:02,05-08-2025 11:59:05,2.699s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 11:59:05,05-08-2025 11:59:07,1.654s,PASSED
closeBrowser(),TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 11:59:07,05-08-2025 11:59:09,2.412s,FAILED
,,,,,,,
Test Cases/AdminSection,TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 11:59:09,05-08-2025 12:00:28,1m - 18.522s,FAILED
"openBrowser("""")",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 11:59:09,05-08-2025 11:59:38,28.279s,PASSED
"navigateToUrl(""https://bug-nation.cgrfoundation-staging.com/accounts/login"")",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 11:59:38,05-08-2025 11:59:44,6.037s,PASSED
maximizeWindow(),TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 11:59:44,05-08-2025 11:59:44,0.679s,PASSED
"setText(findTestObject(""Object Repository/Page_CGR Foundation/input_Email address_accountemail""), ""santhosh.nidamanuri@corpgovrisk.com"")",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 11:59:44,05-08-2025 11:59:49,4.804s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CGR Foundation/input_Password_accountpassword""), ""g9InqrzvBVyAQwkGaiz+Ig=="")",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 11:59:49,05-08-2025 11:59:51,1.924s,PASSED
"click(findTestObject(""Object Repository/Page_CGR Foundation/input_Remember me_commit""))",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 11:59:51,05-08-2025 11:59:56,4.863s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Dashboard - CGR Foundation (6)/div_Successfully logged in""))",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 11:59:56,05-08-2025 12:00:16,20.153s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - CGR Foundation (6)/span_Santhosh""))",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:00:16,05-08-2025 12:00:18,1.642s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - CGR Foundation (6)/a_Admin""))",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:00:18,05-08-2025 12:00:23,5.436s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Dashboard - CGR Foundation (6)/a_Admin_1""), ""Admin"")",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:00:23,05-08-2025 12:00:25,2.220s,PASSED
closeBrowser(),TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:00:25,05-08-2025 12:00:28,2.389s,FAILED
,,,,,,,
"Test Cases/Indicator Current Date-1, 1 response interval and 1 reporting days",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:00:28,05-08-2025 12:03:11,2m - 43.058s,FAILED
"openBrowser(""https://bug-nation.cgrfoundation-staging.com/accounts/login"")",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:00:28,05-08-2025 12:00:49,21.296s,PASSED
"navigateToUrl(""https://bug-nation.cgrfoundation-staging.com/accounts/login"")",TestCloud - Windows - Chrome 134.0.6998.178,,,05-08-2025 12:00:49,05-08-2025 12:00:51,1.169s,PASSED
